267,Eulgio Snchez,Tobalaba Ad.;1;20;14.1;29.6
268,Eulgio Snchez,Tobalaba Ad.;1;21;13.2;30.2
269,Eulgio Snchez,Tobalaba Ad.;1;22;14.2;27.4
270,Eulgio Snchez,Tobalaba Ad.;1;23;14.6;26.6
271,Eulgio Snchez,Tobalaba Ad.;1;24;12.8;28.4
272,Eulgio Snchez,Tobalaba Ad.;1;25;13.0;30.4
273,Eulgio Snchez,Tobalaba Ad.;1;26;13.2;29.2
274,Eulgio Snchez,Tobalaba Ad.;1;27;12.6;26.0
275,Eulgio Snchez,Tobalaba Ad.;1;28;12.2;29.8
276,Eulgio Snchez,Tobalaba Ad.;1;29;14.2;32.8
277,Eulgio Snchez,Tobalaba Ad.;1;30;14.2;31.2
278,Eulgio Snchez,Tobalaba Ad.;1;31;14.8;31.9
279,Quinta Normal,Santiago;1;1;12.2;29.5
280,Quinta Normal,Santiago;1;2;13.7;29.0
281,Quinta Normal,Santiago;1;3;12.1;33.1
282,Quinta Normal,Santiago;1;4;12.2;34.1
283,Quinta Normal,Santiago;1;5;14.4;30.9
284,Quinta Normal,Santiago;1;6;14.5;33.8
285,Quinta Normal,Santiago;1;7;14.7;35.1
286,Quinta Normal,Santiago;1;8;13.9;29.0
287,Quinta Normal,Santiago;1;9;13.7;29.8
288,Quinta Normal,Santiago;1;10;13.2;31.9
289,Quinta Normal,Santiago;1;11;13.7;35.2
290,Quinta Normal,Santiago;1;12;14.5;33.1
291,Quinta Normal,Santiago;1;13;13.9;28.6
292,Quinta Normal,Santiago;1;14;14.7;32.2
293,Quinta Normal,Santiago;1;15;16.3;32.1
294,Quinta Normal,Santiago;1;16;15.9;31.2
295,Quinta Normal,Santiago;1;17;16.6;31.3
296,Quinta Normal,Santiago;1;18;16.4;30.2
297,Quinta Normal,Santiago;1;19;16.5;30.6
298,Quinta Normal,Santiago;1;20;14.2;30.6
299,Quinta Normal,Santiago;1;21;12.3;31.0
300,Quinta Normal,Santiago;1;22;14.1;28.4
301,Quinta Normal,Santiago;1;23;15.1;28.3
302,Quinta Normal,Santiago;1;24;12.6;29.5
303,Quinta Normal,Santiago;1;25;12.5;31.0
304,Quinta Normal,Santiago;1;26;13.2;29.1
305,Quinta Normal,Santiago;1;27;11.9;25.7
306,Quinta Normal,Santiago;1;28;11.4;30.8
307,Quinta Normal,Santiago;1;29;13.5;33.8
308,Quinta Normal,Santiago;1;30;14.3;31.9
309,Quinta Normal,Santiago;1;31;13.3;32.5
310,Pudahuel Santiago ;1;1;12.3;29.3,
311,Pudahuel Santiago ;1;2;13.4;28.5,
312,Pudahuel Santiago ;1;3;12.8;32.6,
313,Pudahuel Santiago ;1;4;13.8;34.1,
314,Pudahuel Santiago ;1;5;14.7;30.9,
315,Pudahuel Santiago ;1;6;15.4;33.2,
316,Pudahuel Santiago ;1;7;14.2;34.9,
317,Pudahuel Santiago ;1;8;14.8;29.0,
318,Pudahuel Santiago ;1;9;13.4;29.6,
319,Pudahuel Santiago ;1;10;13.9;31.6,
320,Pudahuel Santiago ;1;11;14.4;35.1,
321,Pudahuel Santiago ;1;12;13.6;33.3,
322,Pudahuel Santiago ;1;13;13.2;29.4,
323,Pudahuel Santiago ;1;14;14.1;31.9,
324,Pudahuel Santiago ;1;15;17.1;31.9,
325,Pudahuel Santiago ;1;16;15.7;31.0,
326,Pudahuel Santiago ;1;17;16.2;31.1,
327,Pudahuel Santiago ;1;18;16.5;30.8,
328,Pudahuel Santiago ;1;19;16.4;30.1,
329,Pudahuel Santiago ;1;20;15.0;30.2,
330,Pudahuel Santiago ;1;21;12.6;30.7,
331,Pudahuel Santiago ;1;22;14.5;26.7,
332,Pudahuel Santiago ;1;23;14.7;26.8,
333,Pudahuel Santiago ;1;24;13.0;29.0,
334,Pudahuel Santiago ;1;25;13.0;30.6,
335,Pudahuel Santiago ;1;26;13.6;29.1,
336,Pudahuel Santiago ;1;27;11.9;25.7,
337,Pudahuel Santiago ;1;28;12.0;29.7,
338,Pudahuel Santiago ;1;29;14.2;33.6,
339,Pudahuel Santiago ;1;30;14.4;31.9,
340,Pudahuel Santiago ;1;31;14.0;32.1,
341,Santo Domingo,Ad.;1;1;7.6;20.5
342,Santo Domingo,Ad.;1;2;8.0;20.4
343,Santo Domingo,Ad.;1;3;6.2;24.0
344,Santo Domingo,Ad.;1;4;10.0;20.4
345,Santo Domingo,Ad.;1;5;9.8;20.4
346,Santo Domingo,Ad.;1;6;13.0;17.7
347,Santo Domingo,Ad.;1;7;7.8;20.8
348,Santo Domingo,Ad.;1;8;9.0;21.0
349,Santo Domingo,Ad.;1;9;13.2;20.6
350,Santo Domingo,Ad.;1;10;10.0;20.4
351,Santo Domingo,Ad.;1;11;8.8;20.2
352,Santo Domingo,Ad.;1;12;10.0;19.2
353,Santo Domingo,Ad.;1;13;13.3;19.2
354,Santo Domingo,Ad.;1;14;13.3;16.8
355,Santo Domingo,Ad.;1;15;13.6;21.8
356,Santo Domingo,Ad.;1;16;15.8;22.4
357,Santo Domingo,Ad.;1;17;12.0;22.4
358,Santo Domingo,Ad.;1;18;13.0;22.1
359,Santo Domingo,Ad.;1;19;14.5;22.7
360,Santo Domingo,Ad.;1;20;11.5;22.0
361,Santo Domingo,Ad.;1;21;10.6;22.6
362,Santo Domingo,Ad.;1;22;11.4;22.4
363,Santo Domingo,Ad.;1;23;11.6;22.8
364,Santo Domingo,Ad.;1;24;11.0;22.7
365,Santo Domingo,Ad.;1;25;12.2;19.4
366,Santo Domingo,Ad.;1;26;14.7;19.5
367,Santo Domingo,Ad.;1;27;15.6;22.3
368,Santo Domingo,Ad.;1;28;9.6;20.3
369,Santo Domingo,Ad.;1;29;9.6;22.0
370,Santo Domingo,Ad.;1;30;14.0;21.4
371,Santo Domingo,Ad.;1;31;10.6;23.0
372,Juan Fernndez,Estacin Meteorolgica.;1;1;18.7;23.1
373,Juan Fernndez,Estacin Meteorolgica.;1;2;16.3;21.8
374,Juan Fernndez,Estacin Meteorolgica.;1;3;15.6;20.1
375,Juan Fernndez,Estacin Meteorolgica.;1;4;15.9;19.8
376,Juan Fernndez,Estacin Meteorolgica.;1;5;16.7;22.0
377,Juan Fernndez,Estacin Meteorolgica.;1;6;16.8;22.2
378,Juan Fernndez,Estacin Meteorolgica.;1;7;16.3;21.0
379,Juan Fernndez,Estacin Meteorolgica.;1;8;16.3;22.3
380,Juan Fernndez,Estacin Meteorolgica.;1;9;14.9;24.3
381,Juan Fernndez,Estacin Meteorolgica.;1;10;16.9;22.1
382,Juan Fernndez,Estacin Meteorolgica.;1;11;16.1;21.5
383,Juan Fernndez,Estacin Meteorolgica.;1;12;15.9;22.6
384,Juan Fernndez,Estacin Meteorolgica.;1;13;16.7;23.2
385,Juan Fernndez,Estacin Meteorolgica.;1;14;19.0;22.8
386,Juan Fernndez,Estacin Meteorolgica.;1;15;18.1;21.3
387,Juan Fernndez,Estacin Meteorolgica.;1;16;16.2;22.0
388,Juan Fernndez,Estacin Meteorolgica.;1;17;16.4;19.5
389,Juan Fernndez,Estacin Meteorolgica.;1;18;17.4;22.5
390,Juan Fernndez,Estacin Meteorolgica.;1;19;14.9;24.4
391,Juan Fernndez,Estacin Meteorolgica.;1;20;17.3;22.9
392,Juan Fernndez,Estacin Meteorolgica.;1;21;18.1;24.4
393,Juan Fernndez,Estacin Meteorolgica.;1;22;16.6;24.7
394,Juan Fernndez,Estacin Meteorolgica.;1;23;16.5;20.7
